video_game,price,kind,link,devoloper,platform,type
The Legend of Zelda: Ocarina of Time,"91,99 €",Action Adventure,https://sandbox.oxylabs.io/products/1, Nintendo,N/A,singleplayer
Super Mario Galaxy,"91,99 €",Fantasy,https://sandbox.oxylabs.io/products/2, Nintendo,N/A,singleplayer
Super Mario Galaxy 2,"91,99 €",Action,https://sandbox.oxylabs.io/products/3, Nintendo EAD Tokyo,N/A,singleplayer
Metroid Prime,"89,99 €",Platformer,https://sandbox.oxylabs.io/products/4, Retro Studios,N/A,singleplayer
Super Mario Odyssey,"89,99 €",3D,https://sandbox.oxylabs.io/products/5, Nintendo,N/A,singleplayer
Halo: Combat Evolved,"87,99 €",Action,https://sandbox.oxylabs.io/products/6, Bungie Software,N/A,multiplayer
The House in Fata Morgana - Dreams of the Revenants Edition -,"83,99 €",Platformer,https://sandbox.oxylabs.io/products/7, HuneX,N/A,singleplayer
NFL 2K1,"62,99 €",3D,https://sandbox.oxylabs.io/products/8, Visual Concepts,N/A,
Uncharted 2: Among Thieves,"88,99 €",Action,https://sandbox.oxylabs.io/products/9, Naughty Dog,N/A,singleplayer
Tekken 3,"91,99 €",Shooter,https://sandbox.oxylabs.io/products/10, Namco,N/A,multiplayer
The Legend of Zelda: The Wind Waker,"90,99 €",First-Person,https://sandbox.oxylabs.io/products/11, Nintendo,N/A,singleplayer
Gran Turismo,"86,99 €",Sci-Fi,https://sandbox.oxylabs.io/products/12, Polyphony Digital,N/A,multiplayer
Metal Gear Solid 2: Sons of Liberty,"88,99 €",Action,https://sandbox.oxylabs.io/products/13, KCEJ,N/A,singleplayer
Grand Theft Auto Double Pack,"81,99 €",Platformer,https://sandbox.oxylabs.io/products/14, Rockstar North,N/A,singleplayer
Baldur's Gate II: Shadows of Amn,"91,99 €",3D,https://sandbox.oxylabs.io/products/15, BioWare,N/A,multiplayer
Tetris Effect: Connected,"88,99 €",Action,https://sandbox.oxylabs.io/products/16, Monstars Inc.,N/A,
The Legend of Zelda Collector's Edition,"89,99 €",Shooter,https://sandbox.oxylabs.io/products/17, Nintendo,N/A,singleplayer
Gran Turismo 3: A-Spec,"84,99 €",First-Person,https://sandbox.oxylabs.io/products/18, Polyphony Digital,N/A,multiplayer
The Legend of Zelda: A Link to the Past,"90,99 €",Sci-Fi,https://sandbox.oxylabs.io/products/19, Capcom,N/A,
The Legend of Zelda: Majora's Mask,"91,99 €",Adventure,https://sandbox.oxylabs.io/products/20, Nintendo,N/A,singleplayer
The Last of Us,"92,99 €",Visual Novel,https://sandbox.oxylabs.io/products/21, Naughty Dog,N/A,multiplayer
Persona 5 Royal,"84,99 €",Sports,https://sandbox.oxylabs.io/products/22, Atlus,N/A,singleplayer
The Last of Us Remastered,"92,99 €",Traditional,https://sandbox.oxylabs.io/products/23, Naughty Dog,N/A,multiplayer
The Legend of Zelda: Ocarina of Time 3D,"90,99 €",Football,https://sandbox.oxylabs.io/products/24, GREZZO,N/A,singleplayer
Chrono Cross,"88,99 €",Sim,https://sandbox.oxylabs.io/products/25, SquareSoft,N/A,singleplayer
Gears of War,"84,99 €",Action Adventure,https://sandbox.oxylabs.io/products/26, Epic Games,N/A,multiplayer
Sid Meier's Civilization II,"88,99 €",Modern,https://sandbox.oxylabs.io/products/27, MPS Labs,N/A,singleplayer
Halo 3,"81,99 €",Linear,https://sandbox.oxylabs.io/products/28, Bungie Software,N/A,multiplayer
Ninja Gaiden Black,"88,99 €",Action,https://sandbox.oxylabs.io/products/29, Team Ninja,N/A,singleplayer
Super Mario Advance 4: Super Mario Bros. 3,"89,99 €",Fighting,https://sandbox.oxylabs.io/products/30, Nintendo,N/A,multiplayer
Jet Grind Radio,"83,99 €",3D,https://sandbox.oxylabs.io/products/31, Smilebit,N/A,
Grim Fandango,"91,99 €",Action Adventure,https://sandbox.oxylabs.io/products/32, LucasArts,N/A,singleplayer
Resident Evil Code: Veronica,"85,99 €",Action Adventure,https://sandbox.oxylabs.io/products/33, NexTech,N/A,singleplayer
Diablo,"87,99 €",Survival,https://sandbox.oxylabs.io/products/34, Blizzard Entertainment,N/A,multiplayer
Metal Gear Solid 3: Subsistence,"91,99 €",Role-Playing,https://sandbox.oxylabs.io/products/35, Aspect,N/A,multiplayer
Metal Gear Solid 4: Guns of the Patriots,"88,99 €",Action RPG,https://sandbox.oxylabs.io/products/36, Kojima Productions,N/A,multiplayer
Sid Meier's Civilization IV,"82,99 €",Action Adventure,https://sandbox.oxylabs.io/products/37, Firaxis Games,N/A,multiplayer
Virtua Fighter 4,"81,99 €",Modern,https://sandbox.oxylabs.io/products/38, Sega AM2,N/A,multiplayer
Super Mario 64,"91,99 €",Action Adventure,https://sandbox.oxylabs.io/products/39, Nintendo,N/A,singleplayer
Super Smash Bros. Brawl,"88,99 €",Modern,https://sandbox.oxylabs.io/products/40, Game Arts,N/A,multiplayer
Company of Heroes,"87,99 €",General,https://sandbox.oxylabs.io/products/41, Relic,N/A,multiplayer
Gran Turismo 2,"90,99 €",Strategy,https://sandbox.oxylabs.io/products/42, Polyphony Digital,N/A,multiplayer
The Last of Us Part II,"57,99 €",Turn-Based,https://sandbox.oxylabs.io/products/43, Naughty Dog,N/A,singleplayer
Half-Life: Alyx,"92,99 €",Historic,https://sandbox.oxylabs.io/products/44, Valve Software,N/A,singleplayer
Divinity: Original Sin II,"88,99 €",4X,https://sandbox.oxylabs.io/products/45, Larian Studios Games,N/A,multiplayer
Unreal Tournament 2004,"88,99 €",Action,https://sandbox.oxylabs.io/products/46, Epic Games,N/A,multiplayer
God of War II,"90,99 €",Fighting,https://sandbox.oxylabs.io/products/47, SCE Santa Monica,N/A,singleplayer
Super Mario 3D World,"89,99 €",3D,https://sandbox.oxylabs.io/products/48, Nintendo,N/A,singleplayer
Starcraft II: Wings of Liberty,"83,99 €",Action,https://sandbox.oxylabs.io/products/49, Blizzard Entertainment,N/A,multiplayer
